Symbol,Earnings Date,Reported EPS,Surprise(%),Return_1D_%,Return_5D_%,Return_30D_%
ABT,2023-04-19 07:00:00-04:00,1.03,4.31,1.187131559099741,-0.770289654167773,-5.573193596970003
ABT,2023-01-25 07:00:00-05:00,1.03,9.65,-1.0083834252866957,1.0623853759843662,-12.703705973674378
ABT,2022-10-19 07:00:00-04:00,1.15,22.9,-0.1575368680687794,1.8065407396938868,13.527998512003842
ABT,2022-07-20 07:00:00-04:00,1.43,25.29,-1.346100360552918,-0.2981343936835156,-5.285038160162949
ABT,2022-04-20 07:00:00-04:00,1.73,18.09,-3.023419107846569,-4.344656543304246,-5.511878303394687
ABT,2022-01-26 07:00:00-05:00,1.32,9.48,4.076728328577511,8.0289208280222,-5.330454150474074
ABT,2021-10-20 07:00:00-04:00,1.4,47.91,1.3354658753701305,2.127141512427491,4.174326000259252
ABT,2021-07-22 07:00:00-04:00,1.17,14.92,-1.059597101523999,0.1490112419858941,6.738397563790601
ABT,2021-04-20 07:00:00-04:00,1.32,3.99,0.7340820989883591,-0.9380044268050366,-10.929870365664978
ABT,2021-01-27 07:00:00-05:00,1.45,7.11,2.658010093512873,-0.5399109203575846,-3.0567283762616104
ABT,2020-10-21 07:00:00-04:00,0.98,8.0,-1.5436712279903535,-4.092100337241265,-1.4431861828357258
ABT,2020-07-16 07:00:00-04:00,0.57,36.92,-0.1712829332462717,-0.3022509422183488,11.627227139166914
ABBV,2026-02-04 07:00:00-05:00,2.71,2.16,2.013509236074027,3.8717948826020185,-6.369274088597919
ABBV,2025-10-31 07:00:00-04:00,1.86,4.23,1.854119316373349,3.184566522652995,5.524624054951437
ABBV,2025-07-31 07:00:00-04:00,2.97,2.14,1.0091138071241297,1.4496408904898033,11.4691154938882
ABBV,2025-04-25 07:00:00-04:00,2.46,2.62,0.6082901351521938,1.9392837041041255,-1.4765516632934663
ABBV,2025-01-31 07:00:00-05:00,2.16,1.92,-0.0999300598300812,0.1051820539361396,12.46975608250749
ABBV,2024-10-30 07:00:00-04:00,3.0,2.82,-0.1569715088483761,-1.6481181724538738,-14.960509898763336
ABBV,2024-07-25 07:00:00-04:00,2.65,-0.39,-1.7390311233399185,2.2305019496652223,6.081230575000944
ABBV,2024-04-26 07:00:00-04:00,2.31,2.37,0.6934154194529951,0.7491268240657902,3.826143216016902
ABBV,2024-02-02 07:00:00-05:00,2.79,-0.32,1.1853325704031192,1.056891228746841,4.904838698191621
ABBV,2023-10-27 07:00:00-04:00,2.95,2.8,-0.5003660900689451,-0.4862829967696831,7.999185267841439
ABBV,2023-07-27 07:00:00-04:00,2.91,3.64,-0.8418976127556167,-2.068304951103009,-1.1998828958675565
ABBV,2023-04-27 07:00:00-04:00,2.46,-1.37,1.7138909095815311,-2.0447060913483,-8.860501748914167
ABBV,2023-02-09 07:00:00-05:00,3.6,0.65,1.104896860391826,-0.486700898237594,3.6106446945857975
ABBV,2022-10-28 07:00:00-04:00,3.66,2.65,0.348323785634786,1.161201466982431,12.561459774508856
ABBV,2022-07-29 07:00:00-04:00,3.37,1.83,0.1212283029739842,0.0855681515128066,-1.205249518488189
ABBV,2022-04-29 07:00:00-04:00,3.16,0.56,1.1699515915027543,2.0896724560472903,-6.931745642208734
ABBV,2022-02-02 07:00:00-05:00,3.31,0.84,-0.0568229034056176,1.40695659059038,13.124427423081016
ABBV,2021-10-29 07:00:00-04:00,3.33,3.52,1.4981294236008664,1.088760445993348,10.870130343126332
ABBV,2021-07-30 07:00:00-04:00,3.11,2.57,0.6929293488299382,-1.2039959816609476,-7.769611338508486
ABBV,2021-04-30 07:00:00-04:00,2.95,4.26,-0.6801608529820724,1.342867692074602,1.0027912780005517
ABBV,2021-02-03 07:00:00-05:00,2.92,2.42,0.1842785372106867,-4.404309393630834,-4.70837627529914
ABBV,2020-10-30 07:00:00-04:00,2.83,2.32,-0.3286287717559721,7.78469502929628,16.509903712570758
ABBV,2020-07-31 07:00:00-04:00,2.34,6.36,-1.7198072942864118,-3.7106443343413065,-5.242855475892073
ACN,2026-03-19 06:00:00-04:00,2.93,3.26,0.0149965390234721,-3.695188765568624,-9.171726299389704
ACN,2025-12-18 06:00:00-05:00,3.94,5.87,-0.5803368049314555,-0.3342501246316161,-11.23966914121186
ACN,2025-09-25 06:00:00-04:00,3.03,1.97,3.360255741303793,2.657242761379143,2.8413575425725184
ACN,2025-06-20 06:00:00-04:00,3.49,5.03,1.9389838484067172,1.318647836299654,-15.828581338250308
ACN,2025-03-20 06:00:00-04:00,2.82,0.25,0.6092021812327367,-0.3242549085422996,1.2825325153354246
ACN,2024-12-19 06:00:00-05:00,3.59,5.12,-2.0744003442877816,-3.788528847095174,6.17303357939072
ACN,2024-09-26 06:00:00-04:00,2.79,0.63,1.0809289560917985,3.585926825191322,2.080959877676005
ACN,2024-06-20 06:00:00-04:00,3.13,-0.93,-0.5728561780102739,-1.8026946227056488,1.985872889422945
ACN,2024-03-21 06:00:00-04:00,2.77,4.05,-1.09038289013968,0.4948105475061292,-8.96444759436247
ACN,2023-12-19 06:00:00-05:00,3.27,4.46,2.724601129202019,3.5611045080822383,9.482277485037615
ACN,2023-09-28 06:00:00-04:00,2.71,2.86,0.3744614161523457,1.6541305195283993,4.527998478426416
ACN,2023-06-22 06:00:00-04:00,3.15,5.08,-0.3417868177826401,3.401148365148284,6.228071312303928
ACN,2023-03-23 06:00:00-04:00,2.39,-4.36,0.7206148586111882,5.077220111383839,-2.257372056353781
ACN,2022-12-16 06:00:00-05:00,3.08,5.3,2.5450068117446,3.880180664990535,15.62371414403555
ACN,2022-09-22 06:00:00-04:00,2.6,1.09,-0.9385081320316372,-1.0308420399257945,0.900601060501678
ACN,2022-06-23 06:00:00-04:00,2.9,2.31,-2.254716244190134,-6.253119209120459,4.02975779748033
ACN,2022-03-17 06:00:00-04:00,2.54,7.35,0.1697866454416599,1.16069143509638,-5.693182338126223
ACN,2021-12-16 06:00:00-05:00,2.78,5.79,-2.639799575794923,4.817782389323721,-10.575337614949325
ACN,2021-09-23 06:00:00-04:00,2.2,0.68,-1.391369962264938,-4.236066576789552,8.939048657728977
ACN,2021-06-24 06:00:00-04:00,2.4,7.32,-0.257934472870948,3.4548124133194795,8.742937349214914
ACN,2021-03-18 06:00:00-04:00,2.03,6.76,0.5383432123489392,6.4409740971517495,11.105561753471816
ACN,2020-12-17 06:00:00-05:00,2.17,5.95,-1.814111194302599,-2.4676142051541823,-6.396729262293239
ACN,2020-09-24 06:00:00-04:00,1.7,-1.98,3.7972119939519406,3.620182603268498,10.522851855096809
ACN,2020-06-25 06:00:00-04:00,1.9,3.16,0.1176647959835284,2.390944263907837,8.807776037354182
ADBE,2026-03-12 16:00:00-04:00,6.06,3.18,1.0187683344761718,-0.4692818038517363,-4.014924382946878
ADBE,2025-12-10 16:00:00-05:00,5.5,1.9,1.7121822119692864,1.5352581101099114,-15.127123920894478
ADBE,2025-09-11 16:00:00-04:00,5.31,2.48,-0.6468912705536806,4.734374066416791,1.1907498959627976
ADBE,2025-06-12 16:00:00-04:00,5.06,1.71,2.565874820893882,-2.951388320761817,-5.356408512322579
ADBE,2025-03-12 16:00:00-04:00,5.08,2.17,4.472791144474613,3.115072286615824,-2.67838111774104
ADBE,2024-12-11 16:00:00-05:00,4.81,3.01,-1.8835729619777328,-7.846109569825797,-6.942252252924192
ADBE,2024-09-12 16:00:00-04:00,4.65,2.49,-2.862889574194317,-2.713879981509941,-9.899974738741516
ADBE,2024-06-13 16:00:00-04:00,4.48,1.92,-1.2506914687999866,-0.2170175046612055,2.550879381001661
ADBE,2024-03-14 16:00:00-04:00,4.48,2.23,4.345529437478469,1.4336185032480468,-3.9373724703132793
ADBE,2023-12-13 16:00:00-05:00,4.27,3.17,0.0068380586928847,2.651204093397651,7.409689080257094
ADBE,2023-09-14 16:00:00-04:00,4.1,3.06,0.6674295532059121,-3.0233110460600825,-3.927096174250179
ADBE,2023-06-15 16:00:00-04:00,3.91,3.22,-1.882145373817843,-3.1645024318290984,10.888966377415883
ADBE,2023-03-15 16:00:00-04:00,3.8,3.25,1.3728115673271106,4.4467692476733465,6.869707160310444
