Symbol,Earnings Date,Reported EPS,Surprise(%),Return_1D_%,Return_5D_%,Return_30D_%,Surprise_Category
A,2023-08-15 16:00:00-04:00,1.43,4.55,-0.4202367122278849,-1.8375173301183,-7.712595141924177,Beat
A,2023-05-23 16:00:00-04:00,1.27,0.63,-1.2397684315323916,-3.909408152843034,-1.98692872694373,Beat
A,2023-02-28 16:00:00-05:00,1.37,4.46,3.0252407957266265,2.465290665094717,2.908982035383417,Beat
A,2022-11-21 16:00:00-05:00,1.53,10.33,-0.9626594707055096,-1.1985348511939526,-5.718373161700476,Strong Beat
A,2022-08-16 16:00:00-04:00,1.34,10.96,-1.630461685037882,-6.058074744827283,-13.73953889154888,Strong Beat
A,2022-05-24 16:00:00-04:00,1.13,1.3,2.882552563552612,7.243739382007027,2.457297620760212,Beat
A,2022-02-22 16:00:00-05:00,1.21,2.74,1.7063470426326313,5.682529136094355,5.490771204531738,Beat
A,2021-11-22 16:00:00-05:00,1.21,2.86,-1.1693811031801524,-4.244727653691725,-3.5299129712462274,Beat
A,2021-08-17 16:00:00-04:00,1.1,10.6,2.8524100755949364,6.305973013410243,-3.367685340301112,Strong Beat
A,2021-05-25 16:00:00-04:00,0.97,16.32,3.188566292654818,2.3107391105248816,12.707038039770602,Strong Beat
A,2021-02-16 16:00:00-05:00,1.06,17.7,-1.8751890348305684,-3.919446808836669,-2.290168753757134,Strong Beat
A,2020-11-23 16:00:00-05:00,0.98,4.51,-0.2877559527659789,-0.0959278652307825,10.976943864403706,Beat
A,2020-08-18 16:00:00-04:00,0.78,16.91,-0.1837613872205719,1.398517119440363,3.3278779551417323,Strong Beat
APD,2026-01-30 06:00:00-05:00,3.16,3.93,2.572052194403495,5.675490349506504,5.594307012850969,Beat
APD,2025-11-06 06:00:00-05:00,0.02,-99.41,-0.5043387170669146,-0.1539925093222602,-5.759591379468245,Strong Miss
APD,2025-07-31 06:00:00-04:00,3.09,3.23,2.03371972125608,2.480905316539855,2.757743967238218,Beat
APD,2025-05-01 06:00:00-04:00,2.69,-4.86,-1.9487162237590008,-2.337705464643032,1.012182467581502,Miss
APD,2025-02-06 06:00:00-05:00,2.86,0.67,0.0354335830542773,1.829658609766568,-5.472868731929659,Beat
APD,2024-11-07 06:00:00-05:00,3.56,2.49,0.2939528951735233,1.3131699998185853,-6.211067381231791,Beat
APD,2024-08-01 06:00:00-04:00,3.2,5.3,-1.1606371045053634,-1.2458115036181,2.5307103544886003,Beat
APD,2024-04-30 06:00:00-04:00,2.85,5.48,2.610636084638468,3.696998555922831,20.13558509343275,Beat
APD,2024-02-05 06:00:00-05:00,2.82,-6.14,-1.2244983689955449,-0.2018020574903557,9.584937179739429,Miss
APD,2023-11-07 06:00:00-05:00,3.15,1.17,1.561947507359989,5.2668027786085565,4.543520887969696,Beat
APD,2023-08-03 06:00:00-04:00,2.98,2.24,1.0090329809643792,1.5328907970435257,5.308856829135722,Beat
APD,2023-05-09 06:00:00-04:00,2.74,3.11,-1.566122567195651,-1.6906702267135896,1.890019241340106,Beat
APD,2023-02-02 06:00:00-05:00,2.64,-2.25,-0.6982054211611652,0.982376657262972,-2.0384501888402373,Miss
APD,2022-11-03 06:00:00-04:00,2.89,4.64,0.5687091738823754,4.491761669495806,13.64194657080395,Beat
APD,2022-08-04 06:00:00-04:00,2.62,0.43,-0.3312667922448442,3.1373572059750656,-5.048754256806094,Beat
APD,2022-05-05 06:00:00-04:00,2.38,0.27,-1.102550889611138,-0.8947369477531605,2.200829076402236,Beat
APD,2022-02-04 06:00:00-05:00,2.52,0.97,-0.6171736282499922,-4.280992823419355,-7.013142104109179,Beat
APD,2021-11-04 06:00:00-04:00,2.51,0.97,1.063672293628171,0.2230942210989994,-4.623173870755497,Beat
APD,2021-08-09 06:00:00-04:00,2.31,-2.77,0.3095032462376039,1.2739915149344012,-7.172427955980056,Miss
APD,2021-05-10 06:00:00-04:00,2.08,-1.64,-2.5204223399221046,-0.3690806486400972,-3.295190477438735,Miss
APD,2021-02-04 06:00:00-05:00,2.12,-3.48,0.1935572593275244,2.923152646249461,10.140218475559449,Miss
APD,2020-11-11 06:00:00-05:00,2.19,-0.7,-0.5427607258807502,1.903415161986182,1.240057034578497,Miss
APD,2020-07-23 06:00:00-04:00,2.01,1.63,1.0942805629861083,-1.6774329929062748,2.370313229249015,Beat
ABNB,2026-02-12 16:00:00-05:00,0.56,-15.65,2.373304424413887,1.3267413519538762,1.442109618462997,Strong Miss
ABNB,2025-11-06 16:00:00-05:00,2.21,-4.76,-0.5625416285791268,0.9430835668026152,13.294176091958697,Miss
ABNB,2025-08-06 16:00:00-04:00,1.03,9.41,0.8247920301906134,3.84070703760326,5.840208454154857,Beat
ABNB,2025-05-01 16:00:00-04:00,0.24,2.03,-0.2953877856233972,1.421043229235284,9.540159966339544,Beat
ABNB,2025-02-13 16:00:00-05:00,0.73,25.14,-0.5079866650546409,-10.283726324511964,-25.994300310025096,Strong Beat
ABNB,2024-11-07 16:00:00-05:00,2.13,-0.23,2.072649337703265,-1.5674917173942144,-0.0668570964137595,Miss
ABNB,2024-08-06 16:00:00-04:00,0.86,-9.23,1.442347776839303,2.8581503110188344,13.927968822436968,Miss
ABNB,2024-05-08 16:00:00-04:00,0.41,75.72,-0.4964268700369376,0.0952052953029598,0.911252165985322,Strong Beat
ABNB,2024-02-13 16:00:00-05:00,-0.55,-178.56,6.403512610380405,4.763831109294426,11.309048657725896,Strong Miss
ABNB,2023-11-01 16:00:00-04:00,6.63,215.68,6.18181765337527,0.0173131108800054,26.92641221083604,Strong Beat
ABNB,2023-08-03 16:00:00-04:00,0.98,24.58,2.161659997772741,-4.630096010518408,1.697941723551931,Strong Beat
ABNB,2023-05-09 16:00:00-04:00,0.18,16.86,-1.7581106548647751,-4.293665964772271,10.1952475188797,Strong Beat
ABNB,2023-02-14 16:00:00-05:00,0.48,45.75,1.7589984371462266,-8.386247955944741,-10.75103738275395,Strong Beat
ABNB,2022-11-01 16:00:00-04:00,1.79,19.42,-2.5315188288698023,1.4617065987593203,-4.025000428299856,Strong Beat
ABNB,2022-08-02 16:00:00-04:00,0.65,26.31,3.6515429492406457,3.225531926748524,8.711532398627451,Strong Beat
ABNB,2022-05-03 16:00:00-04:00,-0.03,89.99,-8.381352895222976,-25.630678081155896,-40.28684434002266,Strong Beat
ABNB,2022-02-15 16:00:00-05:00,0.08,89.35,-1.628800522971615,-15.205746343560335,-7.972570151882344,Strong Beat
ABNB,2021-11-04 16:00:00-04:00,1.23,48.83,-0.6447712649795269,2.440233254685709,-22.016665243865152,Strong Beat
ABNB,2021-08-12 16:00:00-04:00,-0.11,59.16,-2.742856332342751,-5.930870571082876,14.074365523126469,Strong Beat
ABNB,2021-05-14 17:00:00-04:00,-1.75,-84.34,1.901890016951651,2.573587669516509,10.24905798570165,Strong Miss
ABNB,2021-02-25 16:00:00-05:00,-10.81,-288.43,-4.812215963584182,-12.861646600392184,-14.470559596384152,Strong Miss
AKAM,2026-02-19 16:00:00-05:00,1.84,5.12,4.874168054087118,4.481258684036766,21.694808009365595,Beat
AKAM,2025-11-06 16:00:00-05:00,1.86,13.71,4.036308776017862,4.09601193297831,7.606881907191976,Strong Beat
AKAM,2025-08-07 16:00:00-04:00,1.73,13.18,0.1134295086336666,5.515382754820484,8.71969606170496,Strong Beat
AKAM,2025-05-08 16:00:00-04:00,1.7,8.58,3.331148741675205,2.3344246285860657,4.996718109631147,Beat
AKAM,2025-02-20 16:00:00-05:00,1.66,8.98,1.1990070750624804,5.147917079929662,-3.961945500491938,Beat
AKAM,2024-11-07 16:00:00-05:00,1.59,0.01,1.902200845917736,-2.1707534763172487,8.089958045587702,Beat
AKAM,2024-08-08 16:00:00-04:00,1.58,3.02,-1.901290773874326,-0.994977947961232,-0.778249333959358,Beat
AKAM,2024-05-09 16:00:00-04:00,1.64,1.96,3.432390799012354,4.4083743123589,-3.2240403143922887,Beat
AKAM,2024-02-13 16:00:00-05:00,1.69,4.75,-2.813591699537969,-6.83798422895201,-5.261324699446391,Beat
AKAM,2023-11-07 16:00:00-05:00,1.63,8.76,-0.6964513929717928,1.356729407673007,8.077062683040607,Beat
AKAM,2023-08-08 16:00:00-04:00,1.49,5.94,0.9321284633314578,-1.2719658081035743,4.79658466246466,Beat
AKAM,2023-05-09 16:00:00-04:00,1.4,6.01,0.4442333988203069,1.4379187682657506,3.612340781878253,Beat
AKAM,2023-02-14 16:00:00-05:00,1.37,8.7,-2.0213626916611287,-4.462245070961319,-2.682431365519949,Beat
AKAM,2022-11-08 16:00:00-05:00,1.26,2.98,4.310727726716259,1.953297965877388,-7.1396502914466335,Beat
AKAM,2022-08-09 16:00:00-04:00,1.35,3.22,-2.4064981873133635,-0.2812758090166744,-14.480676982206,Beat
AKAM,2022-05-03 16:00:00-04:00,1.39,-2.23,-3.9894897421870334,-4.534393485386223,-14.897341693770183,Miss
AKAM,2022-02-15 16:00:00-05:00,1.49,4.98,-1.840549584152163,-0.8773585386137144,13.856569420868862,Beat
AKAM,2021-11-02 16:00:00-04:00,1.45,4.6,-1.0913674163410796,-0.9741154544058874,5.3756642345320005,Beat
AKAM,2021-08-03 16:00:00-04:00,1.42,2.54,0.8629068229766054,3.513919419587772,-0.0088979057954076,Beat
AKAM,2021-05-04 16:00:00-04:00,1.38,5.86,1.5390269432016863,2.571192388351994,7.621414137181307,Beat
AKAM,2021-02-09 16:00:00-05:00,1.33,1.24,-3.463367690290424,-5.137965370388236,-5.29019756357351,Beat
AKAM,2020-10-27 16:00:00-04:00,1.31,6.6,-1.6221784458954915,1.991781089958472,6.170433308087401,Beat
AKAM,2020-07-28 16:00:00-04:00,1.38,13.61,-0.1626312835918593,0.0451780372424467,-3.9212178851811967,Strong Beat
ALB,2026-02-11 16:00:00-05:00,-0.53,-8.6,4.668737332044774,5.971194902124631,13.191064358000853,Miss
ALB,2025-11-05 16:00:00-05:00,-1.72,-71.43,6.486963405944117,25.5424037002843,60.33344185568343,Strong Miss
ALB,2025-07-30 16:00:00-04:00,0.11,113.51,0.0737083364310387,3.257183209322809,12.589904504279607,Strong Beat
ALB,2025-04-30 16:00:00-04:00,-0.18,73.52,1.6520555763460196,-3.1692476033909704,3.027925523126285,Strong Beat
ALB,2025-02-12 16:00:00-05:00,-1.09,-63.0,2.473187035994828,2.4605579287397203,-8.396090572174412,Strong Miss
ALB,2024-11-06 16:00:00-05:00,-1.55,-221.72,0.9106363787880274,2.1715114854067195,-10.938734693477386,Strong Miss
ALB,2024-07-31 16:00:00-04:00,0.04,-91.27,-6.633021712708331,-12.171289425197951,-5.718577352210069,Strong Miss
ALB,2024-05-01 16:00:00-04:00,0.26,11.7,2.234634158340592,6.584197476980172,-17.083818727565955,Strong Beat
ALB,2024-02-14 16:00:00-05:00,1.85,66.72,4.331921623199233,2.6808637919797764,10.291143539187692,Strong Beat
ALB,2023-11-01 16:00:00-04:00,2.74,-26.71,2.696192413128385,-8.040452137343413,18.344710861158603,Strong Miss
ALB,2023-08-02 16:00:00-04:00,7.33,62.22,0.3711914563850638,-3.852531317405508,-7.580002458994508,Strong Beat
ALB,2023-05-03 16:00:00-04:00,10.32,46.59,2.305734862213051,13.02022637264798,30.129907877853217,Strong Beat
ALB,2023-02-15 16:00:00-05:00,8.62,3.02,-9.66670918820192,-12.639177296770487,-22.46581822950855,Beat
ALB,2022-11-02 16:00:00-04:00,7.5,7.29,3.798792024909148,16.83054857398118,-11.40456219596699,Beat
ALB,2022-08-03 16:00:00-04:00,3.45,6.02,1.319757887322068,13.116779042304843,22.478639978775703,Beat
ALB,2022-05-04 16:00:00-04:00,2.38,43.87,2.4989470823992934,-9.746287616330411,-10.202635690510157,Strong Beat
ALB,2022-02-16 16:00:00-05:00,1.01,1.85,-3.177322470432609,-2.5733461924923944,14.39727921417388,Beat
ALB,2021-11-03 16:00:00-04:00,1.05,37.09,-0.0550469762189729,-0.1283798624582579,-15.556217522845856,Strong Beat
ALB,2021-08-04 16:00:00-04:00,0.89,6.79,3.700481394307286,8.19687621949949,3.937765242293724,Beat
ALB,2021-05-05 16:00:00-04:00,1.1,38.01,6.457304279575084,3.1664786617509675,3.581374497213499,Strong Beat
ALB,2021-02-17 16:00:00-05:00,1.17,4.47,10.39865078044779,8.497031372796474,6.8336937753480615,Beat
ALB,2020-11-04 16:00:00-05:00,1.09,43.7,6.369688095991727,12.454989223945116,32.01529502573851,Strong Beat
ALB,2020-08-05 16:00:00-04:00,0.86,19.35,1.3198735389928953,9.91119617472509,18.00710799156012,Strong Beat
ARE,2026-01-26 16:00:00-05:00,-6.35,-2200.77,-6.071551229269599,-7.430343033396915,-13.708292680260872,Strong Miss
ARE,2025-10-27 16:00:00-04:00,-1.38,-358.18,-6.641243774564143,-14.219886670937065,-26.16777546903537,Strong Miss
ARE,2025-07-21 16:00:00-04:00,0.48,-24.02,2.788449952092793,-1.4995643944250805,1.0781968196585,Strong Miss
ARE,2025-04-28 16:00:00-04:00,0.51,-15.52,0.1240252615567541,-1.3779774947345598,0.8543538943068896,Strong Miss
ARE,2025-01-27 16:00:00-05:00,0.69,-22.99,-1.5012822714017848,-2.8586101521692067,1.3059046918442925,Strong Miss
ARE,2024-10-21 16:00:00-04:00,0.87,-5.68,1.6360004017838694,-5.357293110902343,-11.05365693144162,Miss
ARE,2024-07-22 16:00:00-04:00,0.88,45.02,-4.810141194886207,-1.968523700871068,-3.1463487978998623,Strong Beat
ARE,2024-04-22 16:00:00-04:00,0.89,42.12,0.1338939589893141,-3.0295448843099675,-2.6529462144067613,Strong Beat
ARE,2024-01-29 16:00:00-05:00,0.82,2.11,-0.2475320904493019,-2.945542797575119,3.292080597902416,Beat
ARE,2023-10-23 16:00:00-04:00,0.87,-1.44,-3.745963880950084,-2.553115404277271,27.477225824334845,Miss
ARE,2023-07-24 16:00:00-04:00,0.51,31.47,2.9090933490621493,-1.3656544988913282,-6.303028451420922,Strong Beat
ARE,2023-04-24 16:00:00-04:00,0.83,4.59,-0.4230863764734424,-0.8212901137154397,1.0370088133300404,Beat
ARE,2023-01-30 16:00:00-05:00,0.31,-57.9,1.5739782340833846,3.788753745148732,-21.02152796905245,Strong Miss
ARE,2022-10-24 16:00:00-04:00,0.35,-53.96,-0.078419103064801,3.245166237013985,3.787189785973466,Strong Miss
ARE,2022-07-25 16:00:00-04:00,0.78,17.01,1.1374467151612389,2.0320610083777244,-1.3739242931731035,Strong Beat
ARE,2022-04-25 16:00:00-04:00,0.71,-19.7,-1.6894364242357185,-5.293793930782266,-18.11122628635542,Strong Miss
ARE,2022-01-31 16:00:00-05:00,0.58,3.57,0.8398359942287773,-4.26566107252366,-1.8742182897150743,Beat
ARE,2021-10-25 16:00:00-04:00,0.7,-6.67,-1.478479049116235,-1.712912552634572,1.58850173458423,Miss
ARE,2021-07-26 16:00:00-04:00,0.73,20.66,-0.8816835955951521,2.0722324062223194,3.511863649528967,Strong Beat
ARE,2021-04-26 16:00:00-04:00,0.72,24.14,0.2808961586865542,1.63473696711463,6.971519447274612,Strong Beat
